International Human Development Indicators,,,,
,,,,
,,,,
"Accessed: 7/14/2014,2:07 PM from: http://hdr.undp.org",,,,
,,,,
Income Gini coefficient,,,,
,,,,
"Measure of the deviation of the distribution of income among individuals or households within a country from a perfectly equal distribution. A value of 0 represents absolute equality, a value of 100 absolute inequality.",,,,
,,,,
"Source: World Bank (2013). ""World Development Indicators 2013."" Washington, D.C.: World Bank. http://data.worldbank.org. Accessed October, 2013. http://data.worldbank.org/data-catalog/world-development-indicators",,,,
,,,,
"Data in the tables are those available to the Human Development Report Office as of 15 November, 2013, unless otherwise specified.",,,,
,,,,
HDI Rank,Country,2013,,
..,Very high human development,..,,
..,High human development,..,,
..,Medium human development,..,,
..,Low human development,..,,
1,Norway,25.8,,
2,Australia,..,,
3,Switzerland,33.7,,
4,Netherlands,30.9,,
5,United States,40.8,,
6,Germany,28.3,,
7,New Zealand,..,,
8,Canada,32.6,,
9,Singapore,..,,
10,Denmark,..,,
11,Ireland,34.3,,
12,Sweden,25,,
13,Iceland,..,,
14,United Kingdom,36,,
15,Korea (Republic of),..,,
15,"Hong Kong, China (SAR)",..,,
17,Japan,..,,
18,Liechtenstein,..,,
19,Israel,39.2,,
20,France,..,,
21,Luxembourg,30.8,,
21,Belgium,33,,
21,Austria,29.2,,
24,Finland,26.9,,
25,Slovenia,31.2,,
26,Italy,36,,
27,Spain,34.7,,
28,Czech Republic,..,,
29,Greece,34.3,,
30,Brunei Darussalam,..,,
31,Qatar,41.1,,
32,Cyprus,..,,
33,Estonia,36,,
34,Saudi Arabia,..,,
35,Poland,32.7,,
35,Lithuania,37.6,,
37,Slovakia,26,,
37,Andorra,..,,
39,Malta,..,,
40,United Arab Emirates,..,,
41,Portugal,..,,
41,Chile,52.1,,
43,Hungary,31.2,,
44,Cuba,..,,
44,Bahrain,..,,
46,Kuwait,..,,
47,Croatia,33.7,,
48,Latvia,34.8,,
49,Argentina,44.5,,
50,Uruguay,45.3,,
51,Montenegro,28.6,,
51,Bahamas,..,,
53,Belarus,26.5,,
54,Romania,27.4,,
55,Libya,..,,
56,Oman,..,,
57,Russian Federation,40.1,,
58,Bulgaria,28.2,,
59,Barbados,..,,
60,Palau,..,,
61,Antigua and Barbuda,..,,
62,Malaysia,46.2,,
63,Mauritius,..,,
64,Trinidad and Tobago,..,,
65,Panama,51.9,,
65,Lebanon,..,,
67,Venezuela (Bolivarian Republic of),44.8,,
68,Costa Rica,50.7,,
69,Turkey,40,,
70,Kazakhstan,29,,
71,Seychelles,65.8,,
71,Mexico,47.2,,
73,Sri Lanka,36.4,,
73,Saint Kitts and Nevis,..,,
75,Iran (Islamic Republic of),38.3,,
76,Azerbaijan,33.7,,
77,Serbia,29.6,,
77,Jordan,35.4,,
79,Grenada,..,,
79,Georgia,42.1,,
79,Brazil,54.7,,
82,Peru,48.1,,
83,Ukraine,25.6,,
84,The former Yugoslav Republic of Macedonia,43.6,,
84,Belize,53.1,,
86,Bosnia and Herzegovina,36.2,,
87,Armenia,31.3,,
88,Fiji,42.8,,
89,Thailand,39.4,,
90,Tunisia,36.1,,
91,Saint Vincent and the Grenadines,..,,
91,China,42.1,,
93,Dominica,..,,
93,Algeria,..,,
95,Albania,34.5,,
96,Jamaica,45.5,,
97,Saint Lucia,..,,
98,Ecuador,49.3,,
98,Colombia,55.9,,
100,Tonga,..,,
100,Suriname,52.9,,
102,Dominican Republic,47.2,,
103,Turkmenistan,..,,
