•ÈÀSeries Name,Series Code,Country Name,Country Code,2005 [YR2005],2013 [YR2013]
GINI index (World Bank estimate),SI.POV.GINI,Afghanistan,AFG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Albania,ALB,30.6,..
GINI index (World Bank estimate),SI.POV.GINI,Algeria,DZA,..,..
GINI index (World Bank estimate),SI.POV.GINI,American Samoa,ASM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Andorra,ADO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Angola,AGO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Antigua and Barbuda,ATG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Argentina,ARG,49.27,42.28
GINI index (World Bank estimate),SI.POV.GINI,Armenia,ARM,35.99,31.54
GINI index (World Bank estimate),SI.POV.GINI,Aruba,ABW,..,..
GINI index (World Bank estimate),SI.POV.GINI,Australia,AUS,..,..
GINI index (World Bank estimate),SI.POV.GINI,Austria,AUT,28.72,..
GINI index (World Bank estimate),SI.POV.GINI,Azerbaijan,AZE,16.64,..
GINI index (World Bank estimate),SI.POV.GINI,"Bahamas, The",BHS,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bahrain,BHR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bangladesh,BGD,32.73,..
GINI index (World Bank estimate),SI.POV.GINI,Barbados,BRB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Belarus,BLR,27.78,..
GINI index (World Bank estimate),SI.POV.GINI,Belgium,BEL,29.88,..
GINI index (World Bank estimate),SI.POV.GINI,Belize,BLZ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Benin,BEN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bermuda,BMU,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bhutan,BTN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bolivia,BOL,58.47,48.06
GINI index (World Bank estimate),SI.POV.GINI,Bosnia and Herzegovina,BIH,..,..
GINI index (World Bank estimate),SI.POV.GINI,Botswana,BWA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Brazil,BRA,56.64,52.87
GINI index (World Bank estimate),SI.POV.GINI,Brunei Darussalam,BRN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bulgaria,BGR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Burkina Faso,BFA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Burundi,BDI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cabo Verde,CPV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cambodia,KHM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cameroon,CMR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Canada,CAN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cayman Islands,CYM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Central African Republic,CAF,..,..
GINI index (World Bank estimate),SI.POV.GINI,Chad,TCD,..,..
GINI index (World Bank estimate),SI.POV.GINI,Channel Islands,CHI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Chile,CHL,..,50.45
GINI index (World Bank estimate),SI.POV.GINI,China,CHN,42.48,..
GINI index (World Bank estimate),SI.POV.GINI,Colombia,COL,55.04,53.49
GINI index (World Bank estimate),SI.POV.GINI,Comoros,COM,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Congo, Dem. Rep.",ZAR,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Congo, Rep.",COG,47.33,..
GINI index (World Bank estimate),SI.POV.GINI,Costa Rica,CRI,47.77,49.18
GINI index (World Bank estimate),SI.POV.GINI,Cote d'Ivoire,CIV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Croatia,HRV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cuba,CUB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Curacao,CUW,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cyprus,CYP,30.26,..
GINI index (World Bank estimate),SI.POV.GINI,Czech Republic,CZE,26.95,..
GINI index (World Bank estimate),SI.POV.GINI,Denmark,DNK,25.94,..
GINI index (World Bank estimate),SI.POV.GINI,Djibouti,DJI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Dominica,DMA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Dominican Republic,DOM,49.96,47.07
GINI index (World Bank estimate),SI.POV.GINI,Ecuador,ECU,54.12,47.29
GINI index (World Bank estimate),SI.POV.GINI,"Egypt, Arab Rep.",EGY,..,..
GINI index (World Bank estimate),SI.POV.GINI,El Salvador,SLV,47.88,43.51
GINI index (World Bank estimate),SI.POV.GINI,Equatorial Guinea,GNQ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Eritrea,ERI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Estonia,EST,33.63,..
GINI index (World Bank estimate),SI.POV.GINI,Ethiopia,ETH,..,..
GINI index (World Bank estimate),SI.POV.GINI,Faroe Islands,FRO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Fiji,FJI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Finland,FIN,27.64,..
GINI index (World Bank estimate),SI.POV.GINI,France,FRA,29.93,..
GINI index (World Bank estimate),SI.POV.GINI,French Polynesia,PYF,..,..
GINI index (World Bank estimate),SI.POV.GINI,Gabon,GAB,42.18,..
GINI index (World Bank estimate),SI.POV.GINI,"Gambia, The",GMB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Georgia,GEO,40.34,40.03
GINI index (World Bank estimate),SI.POV.GINI,Germany,DEU,..,..
GINI index (World Bank estimate),SI.POV.GINI,Ghana,GHA,42.77,..
GINI index (World Bank estimate),SI.POV.GINI,Greece,GRC,35.1,..
GINI index (World Bank estimate),SI.POV.GINI,Greenland,GRL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Grenada,GRD,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guam,GUM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guatemala,GTM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guinea,GIN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guinea-Bissau,GNB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guyana,GUY,..,..
GINI index (World Bank estimate),SI.POV.GINI,Haiti,HTI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Honduras,HND,59.51,53.67
GINI index (World Bank estimate),SI.POV.GINI,"Hong Kong SAR, China",HKG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Hungary,HUN,30.19,..
GINI index (World Bank estimate),SI.POV.GINI,Iceland,ISL,29.38,..
GINI index (World Bank estimate),SI.POV.GINI,India,IND,..,..
GINI index (World Bank estimate),SI.POV.GINI,Indonesia,IDN,34.01,..
GINI index (World Bank estimate),SI.POV.GINI,"Iran, Islamic Rep.",IRN,38.34,37.35
GINI index (World Bank estimate),SI.POV.GINI,Iraq,IRQ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Ireland,IRL,33.76,..
GINI index (World Bank estimate),SI.POV.GINI,Isle of Man,IMY,..,..
GINI index (World Bank estimate),SI.POV.GINI,Israel,ISR,41.86,..
GINI index (World Bank estimate),SI.POV.GINI,Italy,ITA,34.07,..
GINI index (World Bank estimate),SI.POV.GINI,Jamaica,JAM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Japan,JPN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Jordan,JOR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Kazakhstan,KAZ,29.65,26.35
GINI index (World Bank estimate),SI.POV.GINI,Kenya,KEN,48.51,..
